frame,pitch,roll,delta_pitch,delta_roll
55,-163.98655524725805,9.956577652756648,0.0,0.0
56,-171.1381432433774,-174.96828504107384,7.152,184.925
57,-163.4789356645186,8.513956531054301,7.659,183.482
58,-162.9805993112467,7.425972925541387,0.498,1.088
59,-161.07591985276898,8.717959748548537,1.905,1.292
60,-160.81994990910633,7.294545826894211,0.256,1.423
61,-162.31763079313072,4.875085587867042,1.498,2.419
62,-159.9215827849522,9.344633079309988,2.396,4.47
63,-161.1274581287543,7.873474852424157,1.206,1.471
64,-159.9289540090187,7.10580754467424,1.199,0.768
65,-172.69553049878718,178.69537644799937,12.767,171.59
66,-161.19706052496872,7.432540566213886,11.498,171.263
67,-158.14340880306895,9.799668440594656,3.054,2.367
68,-159.74100896258892,7.7488884554149005,1.598,2.051
69,-157.0117694629837,10.909615945070172,2.729,3.161
70,-158.49182381703622,9.945278520801685,1.48,0.964
71,-158.93897254677125,9.28046222066959,0.447,0.665
72,-157.56348021839312,10.249350808509845,1.375,0.969
73,-155.83512648890417,11.016121685832053,1.728,0.767
74,-167.2874427376409,-178.15164258299885,11.452,189.168
75,-159.51512659785539,9.31531468893444,7.772,187.467
76,-159.29056830298947,9.651181663522793,0.225,0.336
77,-158.89597650978817,9.505786560250733,0.395,0.145
78,-158.5108323500098,9.776779027661116,0.385,0.271
79,-158.5108323500098,9.776779027661116,0.0,0.0
80,-157.5470732897098,10.090752901342565,0.964,0.314
81,-158.1515952515048,8.50439979907054,0.605,1.586
82,-156.2507619644,9.263099588302369,1.901,0.759
83,-157.5470732897098,10.090752901342565,1.296,0.828
84,-158.5861460663948,9.37205168762046,1.039,0.719
87,-160.66297783552895,9.104776746972602,2.077,0.267
96,-167.94641724735163,-175.99015847793356,7.283,185.095
97,-153.90376751750762,10.74835737897511,14.043,186.739
98,-167.59054306471015,-178.08745522500374,13.687,188.836
99,-154.9332729089441,10.336058090665762,12.657,188.424
100,-168.78434404169232,-177.07628779396657,13.851,187.412
101,-164.38188826004463,-174.54722786944558,4.402,2.529
103,-168.34109942589058,-177.31328071115436,3.959,2.766
104,-169.3511350133495,-177.09053417115288,1.01,0.223
108,-169.8179927631006,-177.11133755706516,0.467,0.021
109,-167.49103561590545,-176.06474422847938,2.327,1.047
110,-168.7794479113818,-176.5456711315007,1.288,0.481
111,-171.81282661811798,-179.78096749949364,3.033,3.235
112,-168.84599375612956,-178.22654436296492,2.967,1.554
113,-170.69207943010952,-178.55951881569788,1.846,0.333
114,-169.38801853866164,-177.3152584471081,1.304,1.244
115,-169.2582630355391,-177.25661385208878,0.13,0.059
116,-169.41903679540283,-177.14980170422106,0.161,0.107
120,-168.80212967201803,-177.99072354594853,0.617,0.841
121,-167.89621376304106,-178.1840206741791,0.906,0.193
122,-155.78553953672122,9.646473619072234,12.111,187.83
123,-153.17279307848008,11.827121997781333,2.613,2.181
124,-155.54302924751357,11.212985734890035,2.37,0.614
333,-172.79977408080217,178.89943120111533,17.257,167.686
335,-162.18251084693728,2.903496710168568,10.617,175.996
336,-158.98603636608237,4.649404541144758,3.196,1.746
372,-175.7356563799025,174.68927093421524,16.75,170.04
373,-173.72869718942533,175.94494110802722,2.007,1.256
390,-164.44747642167042,-173.2296737461758,9.281,349.175
391,-164.34823107745498,-175.07038870150956,0.099,1.841
392,-161.4885570670289,-173.02089699986098,2.86,2.049
395,-161.004275582,11.767938683119706,0.484,184.789
396,-163.12368276125554,9.113748847465818,2.119,2.654
397,-158.40381609396044,8.897304400472603,4.72,0.216
398,-156.20393753181602,11.110644420246473,2.2,2.213
399,-154.487426018272,12.35751740111266,1.717,1.247
400,-159.04364606094694,7.398033584098338,4.556,4.959
401,-158.41373537287905,8.569506901460128,0.63,1.171
402,-155.50616930714713,9.437872066317249,2.908,0.868
403,-156.50108594911177,7.941235919141273,0.995,1.497
404,-156.90754262666093,5.916464575222762,0.406,2.025
406,-154.6382694245364,9.097684968498378,2.269,3.181
412,-152.59353769955402,9.495033553855825,2.045,0.397
420,-153.71156927220534,9.439564968905795,1.118,0.055
421,-152.22576399897073,11.645005882342264,1.486,2.205
422,-154.14101337532432,11.35584776203023,1.915,0.289
423,-166.62461495913726,-174.66126682806814,12.484,186.017
425,-155.27271030480534,8.182379103913007,11.352,182.844
426,-153.5518957366088,10.21969651987431,1.721,2.037
427,-154.99743498545,10.037387094718879,1.446,0.182
428,-152.96927870433768,9.75887425994089,2.028,0.279
429,-154.95648431761103,9.255810146430202,1.987,0.503
430,-152.9589682890511,11.023065082452588,1.998,1.767
431,-151.82561258594995,11.775031612496429,1.133,0.752
432,-153.15944966125048,11.773653050718965,1.334,0.001
433,-152.25654666726098,12.56964500073553,0.903,0.796
434,-154.254671588088,11.298884804860968,1.998,1.271
435,-154.04309538453262,13.58859605163756,0.212,2.29
436,-155.42108942141962,13.52157137821469,1.378,0.067
437,-154.74205859649356,13.447473662371001,0.679,0.074
438,-156.1128934845448,14.531151402013457,1.371,1.084
439,-158.31191845442186,14.935789139918858,2.199,0.405
440,-154.27890749416278,14.58871682276865,4.033,0.347
441,-154.16909741235486,14.639831790924895,0.11,0.051
442,-154.5446702508803,13.902078220838067,0.376,0.738
443,-155.56080552960287,14.283227035927025,1.016,0.381
444,-155.4374044930037,13.373820482986826,0.123,0.909
445,-157.07954798886476,14.181200196934025,1.642,0.807
446,-153.05845660843752,15.242279251101404,4.021,1.061
447,-153.70937575127738,12.829190096710734,0.651,2.413
