frame,pitch,roll,delta_pitch,delta_roll
55,-2.8621053180682368,0.17377506227109218,0.0,0.0
56,-2.9869240753466233,-3.0537726605346807,0.125,3.228
57,-2.8532456850018333,0.14859657383857242,0.134,3.202
58,-2.8445480748548575,0.12960767771465292,0.009,0.019
59,-2.8113051471093184,0.15215710166850893,0.033,0.023
60,-2.8068376288062606,0.12731384211691632,0.004,0.025
61,-2.832977091376666,0.0850862948248032,0.026,0.042
62,-2.7911581645980985,0.1630946146247357,0.042,0.078
63,-2.8122046597160644,0.13741805974777618,0.021,0.026
64,-2.791286816727961,0.12401973766761955,0.021,0.013
65,-3.0141056106821216,3.1188226771083185,0.223,2.995
66,-2.813419450697283,0.12972230466847592,0.201,2.989
67,-2.7601231739409378,0.1710364798921551,0.053,0.041
68,-2.788006556854948,0.13524361691676784,0.028,0.036
69,-2.7403723415113546,0.19040871836954734,0.048,0.055
70,-2.766204163098049,0.17357785521586075,0.026,0.017
71,-2.7740083806780356,0.16197462185762887,0.008,0.012
72,-2.7500015107119142,0.17888491780043966,0.024,0.017
73,-2.7198360474932084,0.19226759421811768,0.03,0.013
74,-2.91971667301331,-3.109332730909465,0.2,3.302
75,-2.7840641658681573,0.16258291218129736,0.136,3.272
76,-2.7801448842600824,0.16844489673657626,0.004,0.006
77,-2.7732579582673713,0.16590727346820164,0.007,0.003
78,-2.7665359245844114,0.17063698427261623,0.007,0.005
79,-2.7665359245844114,0.17063698427261623,0.0,0.0
80,-2.7497151557862503,0.17611686213359828,0.017,0.005
81,-2.7602660544201885,0.14842977739972513,0.011,0.028
82,-2.7270902550287026,0.16167158675600757,0.033,0.013
83,-2.7497151557862503,0.17611686213359828,0.023,0.014
84,-2.767850396907243,0.1635731596160681,0.018,0.013
87,-2.8040979492886526,0.15890833189369055,0.036,0.005
96,-2.9312179478944778,-3.071607716546553,0.127,3.231
97,-2.6861274744044077,0.1875942254441436,0.245,3.259
98,-2.92500677168454,-3.1082124501742943,0.239,3.296
99,-2.7040957331520072,0.18039824535951612,0.221,3.289
100,-2.9458425293464043,-3.090564249213763,0.242,3.271
101,-2.8690051807831916,-3.0464238265506323,0.077,0.044
103,-2.9381064514089266,-3.094700555922596,0.069,0.048
104,-2.9557348979724,-3.090812895402145,0.018,0.004
108,-2.963883102844008,-3.0911759829818775,0.008,0.0
109,-2.9232700390726385,-3.072909483468649,0.041,0.018
110,-2.945757075751879,-3.0813032413877903,0.022,0.008
111,-2.998699521644313,-3.137769815287081,0.053,0.056
112,-2.9469185198462484,-3.1106400135854773,0.052,0.027
113,-2.979138793131097,-3.116451514110694,0.032,0.006
114,-2.9563786369288394,-3.0947350739267243,0.023,0.022
115,-2.954113976176769,-3.093711532655138,0.002,0.001
116,-2.956920007637202,-3.0918473089937195,0.003,0.002
120,-2.9461529471551304,-3.1065241638837984,0.011,0.015
121,-2.9303417317972853,-3.1098978352060715,0.016,0.003
122,-2.718970591911587,0.16836272585958376,0.211,3.278
123,-2.6733695636954584,0.20642221989633375,0.046,0.038
124,-2.71473798889495,0.1957035200529871,0.041,0.011
333,-3.0159250044123556,3.1223841044045364,0.301,2.927
335,-2.8306188034304727,0.05067557741326503,0.185,3.072
336,-2.774829799283578,0.0811474175001522,0.056,0.03
372,-3.0671658169826777,3.0489029457104864,0.292,2.968
373,-3.032137771155691,3.070818524562595,0.035,0.022
390,-2.8701499101538914,-3.0234281690263476,0.162,6.094
391,-2.8684177521300573,-3.055554705587622,0.002,0.032
392,-2.8185070251144113,-3.019784327401553,0.05,0.036
395,-2.8100547186942095,0.2053892761932445,0.008,3.225
396,-2.8470453521626244,0.159064924588117,0.037,0.046
397,-2.7646681385631933,0.15528725634042703,0.082,0.004
398,-2.7262730145097342,0.19391732715163748,0.038,0.039
399,-2.6963142369499997,0.21567936602190868,0.03,0.022
400,-2.7758352781400344,0.1291200442156328,0.08,0.087
401,-2.7648412626397465,0.1495661107028565,0.011,0.02
402,-2.714094661573467,0.16472194193923662,0.051,0.015
403,-2.731459232758635,0.1386007134666534,0.017,0.026
404,-2.738553240048585,0.10326178691524492,0.007,0.035
406,-2.698946951044237,0.1587845570094933,0.04,0.056
412,-2.6632596501233112,0.16571959810212247,0.036,0.007
420,-2.682772982207327,0.1647514886633223,0.02,0.001
421,-2.6568407881458893,0.20324369406097992,0.026,0.038
422,-2.6902681957600274,0.19819693280265702,0.033,0.005
423,-2.9081481459047422,-3.0484141818541417,0.218,3.247
425,-2.7100200333141813,0.14280945600966521,0.198,3.191
426,-2.6799861532828673,0.1783673528264128,0.03,0.036
427,-2.705215572641952,0.17518545310003236,0.025,0.003
428,-2.669817567791538,0.1703244871240935,0.035,0.005
429,-2.704500848657271,0.16154436199470548,0.035,0.009
430,-2.6696376170975396,0.19238877935041787,0.035,0.031
431,-2.649856828482169,0.20551307116447975,0.02,0.013
432,-2.6731366771313345,0.20548901072252088,0.023,0.0
433,-2.6573780470601034,0.21938169106968006,0.016,0.014
434,-2.6922519057946857,0.1972027416483809,0.035,0.022
435,-2.6885592044237745,0.23716574182457684,0.004,0.04
436,-2.712609737440301,0.2359959405932738,0.024,0.001
437,-2.700758413822808,0.23470269148359427,0.012,0.001
438,-2.7246839961205103,0.253616436070925,0.024,0.019
439,-2.763064222178434,0.2606786968751961,0.038,0.007
440,-2.692674902152895,0.254621142198399,0.07,0.006
441,-2.6907583546734624,0.25551326668977753,0.002,0.001
442,-2.697313337286792,0.24263703782341964,0.007,0.013
443,-2.7150482435461716,0.249289339586797,0.018,0.007
444,-2.712894489157142,0.23341720099877838,0.002,0.016
445,-2.7415552999501274,0.247508635320967,0.029,0.014
446,-2.6713740158381083,0.26602795844013505,0.07,0.019
447,-2.6827346980449227,0.22391160755185205,0.011,0.042
448,-2.6582808185836475,0.2517895772514983,0.024,0.028
449,-2.651670207310787,0.2381543165997796,0.007,0.014
450,-2.6887054330510005,0.2512760712191946,0.037,0.013
451,-2.657188776524582,0.24384556452948575,0.032,0.007
452,-2.659556348234471,0.25161862286444003,0.002,0.008
453,-2.695232492214466,0.24811763157942535,0.036,0.004
454,-2.6383443001139923,0.26144418709137607,0.057,0.013
455,-2.6603231795868254,0.2611136218568525,0.022,0.0
456,-2.6275708880864705,0.2885122443029131,0.033,0.027
457,-2.6410606312895135,0.260774805459735,0.013,0.028
458,-2.6534842496762336,0.279528049531513,0.012,0.019
459,-2.6259205898872047,0.25879108673935175,0.028,0.021
460,-2.6592342621918506,0.2732456387425355,0.033,0.014
461,-2.6360392089044984,0.27589493025310174,0.023,0.003
462,-2.661522651746144,0.25933851926742874,0.025,0.017
463,-2.6587420828896273,0.24524614318182728,0.003,0.014
464,-2.685100198133892,0.2566875298733555,0.026,0.011
465,-2.6340374632985526,0.2669266939086244,0.051,0.01
466,-2.642231432881895,0.27783106420657355,0.008,0.011
467,-2.6605458032273535,0.278895595349996,0.018,0.001
468,-2.6594323895940173,0.2647551385792009,0.001,0.014
469,-2.67602697927068,0.2562642876542623,0.017,0.008
470,-2.6613158880123997,0.2602587275462354,0.015,0.004
471,-2.6548016305880653,0.25622712357357547,0.007,0.004
472,-2.6636983128118947,0.24819273767057864,0.009,0.008
473,-2.675095114181778,0.2501349529570819,0.011,0.002
474,-2.6608666312285227,0.22965816496440128,0.014,0.02
475,-2.6609628210097505,0.24916466901710163,0.0,0.02
476,-2.655278546297357,0.2503583417858213,0.006,0.001
477,-2.654385637364134,0.23005964931870682,0.001,0.02
478,-2.6624739464881193,0.23576542068441728,0.008,0.006
479,-2.6249331227961736,0.24509657000508658,0.038,0.009
480,-2.6302139983878328,0.24730691972311328,0.005,0.002
481,-2.610913207903414,0.2547967712671747,0.019,0.007
482,-2.6286011420637987,0.2797292482173477,0.018,0.025
483,-2.5689960537897187,0.2566383278058486,0.06,0.023
484,-2.894710135715875,-3.041592717831189,0.326,3.298
485,-2.630350967755948,0.24830923523750384,0.264,3.29
486,-2.594513219026185,0.24097507714010208,0.036,0.007
496,-3.0526238078747396,-3.090856110760928,0.458,3.332
497,-2.6889738949336874,0.26224465861666324,0.364,3.353
498,-2.626676826251561,0.2700033805648671,0.062,0.008
499,-2.6842350692939823,0.24726746500823785,0.058,0.023
500,-2.728004204577718,0.2423524442455146,0.044,0.005
501,-2.709497901278327,0.26644597860720787,0.019,0.024
502,-2.7547208345331677,0.28903382974706193,0.045,0.023
503,-2.774195560289767,0.294854548453147,0.019,0.006
504,-2.793898983803748,0.3128260500416756,0.02,0.018
505,-2.7934343870935705,0.3118572780450261,0.0,0.001
506,-2.784480201534314,0.32925328516982044,0.009,0.017
507,-2.7963936093523873,0.31652398324999437,0.012,0.013
508,-2.7806630556829623,0.32213726094318623,0.016,0.006
509,-2.804757821305453,0.3160607225744265,0.024,0.006
510,-2.7491524534348413,0.3121756510926059,0.056,0.004
511,-2.7568452317678034,0.3413549631433693,0.008,0.029
512,-2.7376938117001917,0.3189479204704287,0.019,0.022
513,-2.7302569978135613,0.330909454002704,0.007,0.012
514,-2.7018293600893637,0.34212264364512146,0.028,0.011
515,-2.7327146956548827,0.32836897356024847,0.031,0.014
516,-2.7031925643141315,0.34980355171995586,0.03,0.021
517,-2.736245818367846,0.35950528054310793,0.033,0.01
518,-2.7063207459674232,0.3423003525458883,0.03,0.017
519,-2.6969041800245503,0.34289763136840357,0.009,0.001
520,-2.6888122183676355,0.35381037652229314,0.008,0.011
521,-2.695678224336292,0.3507537089080642,0.007,0.003
522,-2.70122295819755,0.34349620837340006,0.006,0.007
523,-2.698894518322836,0.3294211134759582,0.002,0.014
524,-2.6748414089360346,0.3429878740970026,0.024,0.014
525,-2.6735738390016994,0.34421728632690146,0.001,0.001
526,-2.6702554460321637,0.33300326794532376,0.003,0.011
527,-2.965190350378092,-2.9628166235971243,0.295,3.296
528,-2.6744491152025582,0.32895088896723396,0.291,3.292
529,-2.6883853965142506,0.31584164842217427,0.014,0.013
530,-2.9373139542826023,-2.9722439849270366,0.249,3.288
531,-2.682946330776833,0.33403943088875704,0.254,3.306
532,-2.6850272440216316,0.3294399401080169,0.002,0.005
533,-2.7115235707328744,0.2800132866419938,0.026,0.049
534,-2.7091808569850433,0.2868381762062189,0.002,0.007
535,-2.7032161064079676,0.30955136603366334,0.006,0.023
536,-2.685875898450254,0.30411950036388835,0.017,0.005
537,-2.7053502549435673,0.2936600853500017,0.019,0.01
538,-2.679568658447295,0.29431885604120095,0.026,0.001
539,-2.6924736792723665,0.2634874214544368,0.013,0.031
540,-2.7060849429686455,0.2187694377663607,0.014,0.045
541,-2.6778455431151316,0.18571110515499972,0.028,0.033
542,-2.6249879231294515,0.15421794058049174,0.053,0.031
543,-2.601553007612351,0.14112763962648786,0.023,0.013
544,-2.578646774302137,0.10109310558672367,0.023,0.04
545,-2.570321320165792,0.09000535423705047,0.008,0.011
546,-2.583836920306269,0.07742377939927238,0.014,0.013
547,-2.5572249444580164,0.07712232374779912,0.027,0.0
